"owned_id","owner_id","share"
86,96,1
87,97,1
88,98,1
89,99,1
90,100,1
91,101,1
91,105,1
92,102,1
93,103,1
94,104,1
95,101,1
95,105,1
96,1,0.6
96,2,0.1333
96,3,0.1333
96,4,0.1333
97,5,0.1
97,6,0.1407
97,7,0.0018
97,8,0.0001
97,9,0.01
97,10,0.0137
97,11,0.0068
97,12,0.006
97,13,0.0006
98,14,0.1667
98,15,0.1667
102,16,0.085
99,17,0.2
101,18,0.2
105,18,0.2
101,19,0.065
105,19,0.065
103,20,0.115
103,21,0.1
104,22,0.0556
104,23,0.0556
104,24,0.1111
25,41,1
1,32,0.3138
1,28,0.25
1,26,0.0212
1,33,0.02
1,40,0.0091
1,42,0.023
1,43,0.1363
1,44,0.0712
1,45,0.056
1,46,0.0994
2,31,0.1841
2,25,0.14026
2,37,0.12501
2,30,0.12251
2,47,0.18342
2,41,0.13975
2,48,0.07875
2,49,0.01747
2,50,0.00873
26,51,1
3,21,0.1
3,27,0.0665
3,52,0.5254
3,53,0.0813
3,46,0.2268
5,2,0.81
5,54,0.099
5,46,0.091
27,46,0.8782
27,55,0.0683
27,56,0.0291
27,53,0.0243
28,29,1
29,57,0.8494
29,46,0.133
29,58,0.0164
29,53,0.0012
18,29,1
30,59,1
31,47,1
14,60,1
32,36,0.2971
32,21,0.2309
32,38,0.2039
32,20,0.0607
32,61,0.2074
22,22,0.55
22,35,0.29
22,62,0.1
22,63,0.02
22,64,0.02
22,65,0.02
15,66,1
20,67,1
21,3,0.1
21,39,0.03
21,34,0
21,68,0.79
21,53,0.05
21,69,0.02
21,70,0.01
21,71,0
21,58,0
33,72,0.95
33,70,0.025
33,73,0.025
4,74,1
34,69,1
35,54,1
19,2,0.337
19,46,0.08
19,6,0.583
36,75,0.0252
36,76,0.386
36,70,0.1409
36,77,0.0331
36,53,0.0995
36,21,0.058
36,3,0.05
36,46,0.2073
37,78,0.833
37,79,0.142
37,80,0.025
38,81,0.55
38,82,0.3
38,70,0.15
39,83,0.47
39,84,0.36
39,85,0.15
39,70,0.02
40,50,0.3
40,73,0.7
